,SK_ID_CURR,TARGET,AMT_INCOME_TOTAL,AMT_ANNUITY,AGE,YEARS_EMPLOYED,OWN_CAR_AGE,CNT_FAM_MEMBERS,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Other,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Civil marriage,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_CONTRACT_TYPE_Cash loans,NAME_CONTRACT_TYPE_Revolving loans,OCCUPATION_TYPE_Accountants,OCCUPATION_TYPE_Core staff,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE_HR staff,OCCUPATION_TYPE_High skill tech staff,OCCUPATION_TYPE_IT staff,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Managers,OCCUPATION_TYPE_Medicine staff,OCCUPATION_TYPE_Other,OCCUPATION_TYPE_Private service staff,OCCUPATION_TYPE_Realty agents,OCCUPATION_TYPE_Sales staff,CREDIT_active,CREDIT_MEAN_OVERDUE_active,CREDIT_MEAN_active,proportion_OVERDUE_active,CREDIT_sold,CREDIT_MEAN_OVERDUE_sold,CREDIT_MEAN_sold,proportion_OVERDUE_sold,CREDIT_closed,CREDIT_MEAN_OVERDUE_closed,CREDIT_MEAN_closed,proportion_OVERDUE_closed,CREDIT_bad,CREDIT_MEAN_OVERDUE_bad,CREDIT_MEAN_bad,proportion_OVERDUE_bad,CREDIT_ask,Number_years_Loan_Theorical,INCOME_ANNUITY_RATIO
17054,102292,0,225000.0,32994.000000000015,27.19341563786008,5.761316872427984,5.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,19537.499999999996,0.0,0.0,0.0,0.0,0.0,1.0,6473.249999999997,59099.45999999996,0.1095314576478363,0.0,0.0,0.0,0.0,24463.50000000001,30.650572831423894,6.819421713038734
15275,102856,0,134999.99999999997,40571.99999999996,27.17146776406036,5.62962962962963,14.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,489421.5,0.0,0.0,0.0,0.0,0.0,1.0,3793.499999999999,225000.0,0.01686,0.0,0.0,0.0,0.0,89032.23529411768,25.69653948535936,3.327417923691216
35170,103264,0,89999.99999999991,10822.49999999999,34.34293552812071,13.843621399176955,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,383737.4999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,83749.49999999996,0.0,0.0,0.0,0.0,0.0,0.0,12.474012474012474,8.316008316008316
16439,103517,0,134999.99999999997,15151.499999999987,52.94101508916324,14.238683127572015,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,401924.9999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,663749.9999999993,0.0,0.0,0.0,0.0,0.0,46404.00000000003,29.99702999703,8.91000891000891
3186,104023,0,269999.99999999977,40319.99999999996,36.63374485596708,13.506172839506172,14.0,4.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,62041.500000000015,0.0,0.0,0.0,0.0,0.0,1.0,2216.7000000000007,268964.25000000023,0.0082416157537665,0.0,0.0,0.0,0.0,71940.37499999994,20.71875,6.696428571428571
31491,104495,0,134999.99999999997,31945.49999999998,59.58024691358025,3.799725651577504,7.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,202500.0000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51778.88999999998,0.0,0.0,0.0,0.0,0.0,75221.99999999999,14.368220876179745,4.225947316523454
4891,104697,0,179999.9999999999,37638.00000000004,40.58710562414266,4.836762688614541,0.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,17999.99999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,171197.99999999985,0.0,0.0,0.0,0.0,0.0,209685.0000000001,20.715447154471544,4.782400765184122
13152,104867,0,134999.99999999997,11619.0,37.3360768175583,1.7887517146776406,0.0,4.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,191250.00000000015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,268603.4999999998,0.0,0.0,0.0,0.0,0.0,316997.6538461536,19.364833462432223,11.618900077459331
21097,105000,0,225000.0,25933.500000000025,26.318244170096023,6.093278463648834,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,94283.99999999994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41001.74999999996,0.0,0.0,0.0,0.0,0.0,53450.25000000004,20.78778414020476,8.676036786395974
25349,105016,0,202500.0000000001,17073.000000000015,38.98216735253772,3.6433470507544574,12.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,199398.71249999985,0.0,0.0,0.0,0.0,0.0,1.0,4942.71,311485.5000000002,0.0158681864805905,0.0,0.0,0.0,0.0,91638.64285714278,19.43621507643648,11.860832894043224
5679,105212,0,225000.0,29839.5,56.60356652949245,12.263374485596708,7.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,179999.9999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.099984919318352,7.540340823405218
18211,105256,0,315000.00000000023,28831.499999999975,45.98079561042524,7.1467764060356656,0.0,3.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,440999.9999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,85731.75000000003,0.0,0.0,0.0,0.0,0.0,100237.49999999996,22.600124863430626,10.925550179491182
14149,105499,0,121500.00000000007,12374.999999999993,39.61865569272977,14.060356652949244,5.0,4.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,449999.9999999998,0.0,0.0,0.0,0.0,0.0,1.0,613.854,44956.656,0.0136543518717228,0.0,0.0,0.0,0.0,34345.12500000002,20.0,9.818181818181818
24253,105660,0,179999.9999999999,12374.999999999993,25.70644718792867,3.031550068587105,0.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,287999.99999999977,0.0,0.0,0.0,0.0,0.0,1.0,6038.999999999999,145606.5000000001,0.0414747967982198,0.0,0.0,0.0,0.0,95150.24999999996,20.0,14.545454545454543
4218,105684,0,166499.99999999985,16852.500000000015,33.80246913580247,14.864197530864198,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,134954.99999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,103547.69999999995,0.0,0.0,0.0,0.0,0.0,89438.1428571428,20.40053404539385,9.879839786381842
13515,106086,0,89999.99999999991,22500.0,45.16323731138546,5.615912208504801,0.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,360000.0000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92058.74999999993,0.0,0.0,0.0,0.0,0.0,169017.07500000004,20.0,4.0
26953,106506,0,89999.99999999991,13963.499999999996,37.76954732510288,15.267489711934155,0.0,2.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,120081.0000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42045.264000000025,0.0,0.0,0.0,0.0,0.0,77277.27272727275,22.49113760876571,6.445375443119562
11376,106515,0,112500.00000000004,8999.999999999998,29.783264746227708,6.735253772290809,0.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,369000.0000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63384.74999999994,20.0,12.5
31823,106623,0,193500.0000000001,13499.99999999999,37.74485596707819,11.37997256515775,0.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,7729.605,154082.24999999997,0.0501654473503599,0.0,0.0,0.0,0.0,1.0,2841.3,104695.07142857136,0.0271388133293216,0.0,0.0,0.0,0.0,102788.1,20.0,14.333333333333334
30936,106643,0,157500.00000000003,18418.5,38.67764060356653,6.1920438957476,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,139980.09599999996,0.0,0.0,0.0,0.0,0.0,1.0,884.8124999999997,101914.07142857148,0.0086819463455558,0.0,0.0,0.0,0.0,93634.49999999993,19.545565599804544,8.551184949914488
18666,106651,0,112500.00000000004,34586.99999999996,29.637860082304528,3.371742112482853,0.0,4.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,250500.00000000023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,124108.5000000001,0.0,0.0,0.0,0.0,0.0,134370.90000000014,30.14311735623211,3.2526671870934165
18129,106750,0,98999.9999999999,19737.000000000007,42.49382716049383,14.899862825788752,0.0,2.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,49477.50000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101820.59999999996,34.19972640218878,5.015959872321021
13048,106790,0,202500.0000000001,28075.49999999999,39.34156378600823,0.5294924554183813,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,190348.5000000001,0.0,0.0,0.0,0.0,0.0,1.0,4534.500000000001,62629.71428571428,0.0724017353697925,0.0,0.0,0.0,0.0,102586.2,19.49543196025004,7.212694342041994
7759,106904,0,157500.00000000003,39474.00000000001,35.6076817558299,7.879286694101509,9.0,4.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,112500.00000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132300.0,34.19972640218878,3.989968080255358
2857,107212,0,179999.9999999999,7028.999999999998,32.515775034293554,9.3360768175583,0.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,449999.9999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,106705.5000000001,0.0,0.0,0.0,0.0,0.0,64723.500000000015,15.364916773367478,25.60819462227913
6906,107557,0,157500.00000000003,31418.99999999998,24.47736625514404,0.3100137174211248,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,675000.0000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,176647.50000000012,0.0,0.0,0.0,0.0,0.0,136892.45454545447,17.347464909767975,5.012890289315383
9991,107583,0,202500.0000000001,24043.50000000002,45.37448559670782,15.958847736625517,0.0,2.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,87744.37499999997,0.0,0.0,0.0,0.0,0.0,30856.499999999967,28.07411566535654,8.422234699606962
15641,107586,0,108000.0,27562.500000000007,44.88614540466392,14.304526748971194,4.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,225000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89999.99999999991,0.0,0.0,0.0,0.0,0.0,0.0,12.86057142857143,3.918367346938776
30948,107595,0,157500.00000000003,13499.99999999999,28.277091906721537,3.349794238683128,0.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,135997.02000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58495.50000000001,20.0,11.666666666666666
21500,107840,0,112500.00000000004,6839.999999999996,31.56378600823045,3.1275720164609053,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,43012.519999999975,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26437.499999999985,0.0,0.0,0.0,0.0,0.0,85356.00000000003,11.43157894736842,16.44736842105263
23689,108326,0,202500.0000000001,32602.49999999997,30.266117969821675,1.9945130315500683,0.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,195169.5000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,411158.2500000004,0.0,0.0,0.0,0.0,0.0,297909.00000000023,20.70393374741201,6.211180124223603
36027,108771,0,134999.99999999997,21779.99999999999,37.3443072702332,14.441700960219478,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,378000.0000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45086.03999999996,0.0,0.0,0.0,0.0,0.0,25290.00000000002,20.66115702479339,6.198347107438017
9088,109160,0,225000.0,15502.500000000002,48.68861454046639,0.4471879286694101,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,584999.9999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55728.00000000006,0.0,0.0,0.0,0.0,0.0,0.0,26.75645863570392,14.51378809869376
22072,109209,0,179999.9999999999,19921.500000000004,37.34156378600823,7.958847736625515,0.0,4.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,378000.0000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,180675.00000000015,0.0,0.0,0.0,0.0,0.0,405940.5000000003,8.427829229726678,9.03546419697312
26498,109692,0,134999.99999999997,25303.49999999999,46.598079561042525,1.0205761316872428,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,54887.265000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76707.64285714286,18.673306064378444,5.335230304108127
23123,109811,0,202500.0000000001,50255.99999999999,39.95061728395062,3.5308641975308643,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,467999.99999999977,0.0,0.0,0.0,0.0,0.0,1.0,1440.0000000000002,28291.500000000007,0.0508986798154922,0.0,0.0,0.0,0.0,117095.62500000004,17.908309455587393,4.029369627507164
26488,109821,0,337500.0,41629.49999999999,38.21673525377229,2.233196159122085,2.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,540000.0000000002,0.0,0.0,0.0,0.0,0.0,1.0,1169.9999999999995,86408.47499999998,0.0135403384911028,0.0,0.0,0.0,0.0,228468.85714285733,30.16322559723273,8.107231650632365
3442,110222,0,157500.00000000003,49427.99999999999,33.84087791495199,1.879286694101509,13.0,2.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,166639.77000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29273.220000000005,0.0,0.0,0.0,0.0,0.0,64030.49999999996,20.7319737800437,3.186453022578296
23458,110771,0,157500.00000000003,10125.0,26.24965706447188,2.189300411522633,0.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,202500.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.555555555555555
24064,110862,1,121500.00000000007,41692.49999999996,31.79423868312757,8.301783264746227,0.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,122471.99999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76608.00000000003,30.90124123043713,2.914193200215866
33512,110990,0,179999.9999999999,26874.000000000025,33.58299039780521,9.330589849108367,0.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,225000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22498.92000000001,0.0,0.0,0.0,0.0,0.0,26100.000000000025,9.477561955793703,6.697923643670462
9771,111055,0,67499.99999999994,14040.000000000004,27.242798353909464,7.091906721536351,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,165555.00000000006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,112500.00000000004,0.0,0.0,0.0,0.0,0.0,189746.9999999999,25.32307692307692,4.807692307692308
29712,111073,0,134999.99999999997,37800.00000000002,32.685871056241425,11.034293552812072,7.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,2051.9999999999995,449999.9999999998,0.00456,0.0,0.0,0.0,0.0,1.0,8194.499999999998,54540.74999999997,0.1502454586708103,0.0,0.0,0.0,0.0,140176.50000000003,34.083333333333336,3.571428571428572
4036,111160,1,179999.9999999999,48491.99999999999,39.84362139917695,7.94238683127572,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,180409.5000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56655.00000000005,0.0,0.0,0.0,0.0,0.0,375676.5,27.839643652561247,3.7119524870081664
12149,111354,0,211499.99999999985,6592.500000000002,26.70781893004116,1.06721536351166,1.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,151875.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116530.87500000004,12.671672354948806,32.081911262798634
34040,111427,0,225000.0,39514.5,37.65432098765432,4.013717421124828,0.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,122234.99999999994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,126483.75000000012,0.0,0.0,0.0,0.0,0.0,18874.499999999985,25.13210340507915,5.694112287894317
2341,111542,0,134999.99999999997,18931.5,33.04252400548697,7.86556927297668,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,189000.0000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43936.200000000026,0.0,0.0,0.0,0.0,0.0,86834.24999999999,21.304730211552176,7.130972189208462
10821,111565,0,143999.99999999988,18265.499999999996,27.75857338820302,4.674897119341564,0.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,262980.00000000006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17145.00000000001,0.0,0.0,0.0,0.0,0.0,72258.75000000006,8.36659275683666,7.883715200788371
17377,111584,0,134999.99999999997,21285.0,26.69684499314129,0.551440329218107,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,179999.9999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39852.00000000003,0.0,0.0,0.0,0.0,0.0,38328.75,20.659619450317123,6.342494714587738
29883,112205,0,89999.99999999991,9171.0,26.337448559670783,1.8820301783264743,0.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,31252.500000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60265.99999999994,17.17369970559372,9.813542688910696
32248,112207,0,170999.99999999985,37593.00000000003,31.13305898491084,0.710562414266118,14.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,74115.00000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,139624.87499999988,0.0,0.0,0.0,0.0,0.0,50445.00000000003,12.61359827627484,4.548719176442423
5317,112232,0,234000.0000000001,35617.49999999998,32.23319615912209,4.1234567901234565,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,656999.9999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.0,179999.9999999999,0.0,0.0,0.0,0.0,0.0,0.0,37.90802274162981,6.569804169298799
25261,112272,0,179999.9999999999,37255.50000000001,44.25514403292181,5.851851851851852,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,225000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80214.75000000007,36.23626041792487,4.831501389056649
33420,112522,0,157500.00000000003,31522.499999999967,26.03566529492456,2.732510288065844,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,82499.99999999997,0.0,0.0,0.0,0.0,0.0,1.0,11157.000000000002,325462.8857142856,0.0342804064294888,0.0,0.0,0.0,0.0,157786.50000000012,24.805139186295506,4.996431120628123
